timestamp,product,price,strike,expiration_time,bid_1_price,bid_1_quantity,bid_2_price,bid_2_quantity,bid_3_price,bid_3_quantity,bid_4_price,bid_4_quantity,bid_5_price,bid_5_quantity,ask_1_price,ask_1_quantity,ask_2_price,ask_2_quantity,ask_3_price,ask_3_quantity,ask_4_price,ask_4_quantity,ask_5_price,ask_5_quantity
2025-05-14 02:10:07,KXBTCD-25MAY1323-T103499.99,,103500.0,2025-05-14 03:05:00+00:00,48.0,600.0,47.0,114.0,44.0,30.0,41.0,2250.0,40.0,250.0,56.0,250.0,57.0,30.0,58.0,864.0,60.0,2250.0,62.0,500.0
2025-05-14 02:10:07,KXBTCD-25MAY1323-T103749.99,,103750.0,2025-05-14 03:05:00+00:00,20.0,250.0,19.0,614.0,18.0,250.0,16.0,2530.0,14.0,250.0,24.0,700.0,25.0,250.0,27.0,2250.0,28.0,250.0,30.0,294.0
2025-05-14 02:10:07,KXBTCD-25MAY1323-T102999.99,,103000.0,2025-05-14 03:05:00+00:00,89.0,500.0,87.0,600.0,86.0,500.0,85.0,2000.0,84.0,250.0,93.0,600.0,94.0,250.0,95.0,250.0,96.0,2750.0,97.0,80000.0
2025-05-14 02:10:07,KXBTCD-25MAY1323-T102749.99,,102750.0,2025-05-14 03:05:00+00:00,80.0,3000.0,61.0,2600.0,60.0,200.0,55.0,8000.0,4.0,8100.0,,,,,,,,,,
2025-05-14 02:10:07,KXBTCD-25MAY1323-T103999.99,,104000.0,2025-05-14 03:05:00+00:00,5.0,500.0,2.0,80864.0,1.0,2280.0,,,,,8.0,1.0,9.0,600.0,10.0,150.0,13.0,60.0,14.0,14.0
2025-05-14 02:10:07,KXBTCD-25MAY1323-T103249.99,,103250.0,2025-05-14 03:05:00+00:00,76.0,600.0,75.0,200.0,73.0,14.0,72.0,34.0,69.0,30.0,80.0,250.0,81.0,150.0,82.0,880.0,84.0,250.0,85.0,2264.0
2025-05-14 02:10:09,BRTI,103498.84,,,,,,,,,,,,,,,,,,,,,,
2025-05-14 02:10:09,KXBTCD-25MAY1323-T102999.99,,103000.0,2025-05-14 03:05:00+00:00,89.0,500.0,87.0,600.0,86.0,500.0,85.0,2000.0,84.0,250.0,93.0,600.0,94.0,250.0,95.0,250.0,96.0,2750.0,97.0,80000.0
2025-05-14 02:10:09,KXBTCD-25MAY1323-T103249.99,,103250.0,2025-05-14 03:05:00+00:00,76.0,600.0,75.0,200.0,72.0,34.0,71.0,14.0,67.0,2280.0,80.0,280.0,81.0,150.0,82.0,850.0,83.0,14.0,84.0,250.0
2025-05-14 02:10:09,KXBTCD-25MAY1323-T102749.99,,102750.0,2025-05-14 03:05:00+00:00,80.0,3000.0,61.0,2600.0,60.0,200.0,55.0,8000.0,4.0,8100.0,,,,,,,,,,
2025-05-14 02:10:09,KXBTCD-25MAY1323-T102499.99,,102500.0,2025-05-14 03:05:00+00:00,84.0,3000.0,71.0,2600.0,70.0,200.0,59.0,8000.0,7.0,20000.0,,,,,,,,,,
2025-05-14 02:10:09,KXBTCD-25MAY1323-T103999.99,,104000.0,2025-05-14 03:05:00+00:00,5.0,500.0,2.0,80864.0,1.0,2280.0,,,,,8.0,1.0,9.0,600.0,10.0,150.0,13.0,60.0,14.0,14.0
2025-05-14 02:10:09,KXBTCD-25MAY1323-T103499.99,,103500.0,2025-05-14 03:05:00+00:00,48.0,600.0,47.0,114.0,44.0,30.0,41.0,2250.0,40.0,250.0,52.0,50.0,56.0,250.0,57.0,30.0,58.0,264.0,60.0,2250.0
