2025-06-17 13:40:48,167 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:40:48.167796", "price": 104040.47, "session_update_count": 4600, "session_duration_minutes": 76.65}
2025-06-17 13:42:27,997 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:42:27.996857", "price": 103996.2, "session_update_count": 4700, "session_duration_minutes": 78.31}
2025-06-17 13:44:08,227 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:44:08.227668", "price": 103903.89, "session_update_count": 4800, "session_duration_minutes": 79.98}
2025-06-17 13:45:48,204 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:45:48.204067", "price": 103881.99, "session_update_count": 4900, "session_duration_minutes": 81.65}
2025-06-17 13:47:28,213 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:47:28.213312", "price": 103874.51, "session_update_count": 5000, "session_duration_minutes": 83.31}
2025-06-17 13:49:08,203 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:49:08.202905", "price": 103882.37, "session_update_count": 5100, "session_duration_minutes": 84.98}
2025-06-17 13:50:48,196 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:50:48.196306", "price": 103857.4, "session_update_count": 5200, "session_duration_minutes": 86.65}
2025-06-17 13:52:28,248 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:52:28.248799", "price": 103942.55, "session_update_count": 5300, "session_duration_minutes": 88.32}
2025-06-17 13:52:51,238 | WARNING | SHADOW_BAN_DETECTED | {"detection_time": "2025-06-17T13:52:51.237930", "time_since_last_update_seconds": 20.03, "time_since_last_update_minutes": 0.33, "threshold_seconds": 20, "session_updates_before_ban": 5303, "session_duration_before_ban": 5321.91}
2025-06-17 13:52:51,239 | INFO | SESSION_END | {"session_number": 1, "start_time": "2025-06-17T12:24:09.330626", "end_time": "2025-06-17T13:52:51.239635", "duration_seconds": 5321.91, "duration_minutes": 88.7, "price_updates_received": 5303, "end_reason": "shadow_ban_detected", "retry_count": 0, "updates_per_minute": 59.79}
2025-06-17 13:52:51,240 | INFO | SESSION_SUMMARY | Session #1 lasted 88.7 minutes with 5303 updates | Reason: shadow_ban_detected
2025-06-17 13:52:51,353 | WARNING | RETRY_ATTEMPT | {"retry_number": 1, "max_retries": 5, "wait_time_seconds": 300, "wait_time_minutes": 5.0, "retry_start_time": "2025-06-17T13:52:51.353025"}
2025-06-17 13:57:56,039 | INFO | CONNECTION_TEST | {"test_time": "2025-06-17T13:57:56.039592", "success": true, "error_message": null}
2025-06-17 13:57:56,040 | INFO | SESSION_START | Session #2 | Time: 2025-06-17 13:57:56.040395
2025-06-17 13:57:56,221 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:57:56.221170", "price": 103944.18, "session_update_count": 1, "session_duration_minutes": 0.0}
2025-06-17 13:57:56,676 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:57:56.676126", "price": 103946.06, "session_update_count": 2, "session_duration_minutes": 0.01}
2025-06-17 13:57:57,662 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:57:57.662144", "price": 103950.45, "session_update_count": 3, "session_duration_minutes": 0.03}
2025-06-17 13:57:58,657 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:57:58.657170", "price": 103950.57, "session_update_count": 4, "session_duration_minutes": 0.04}
2025-06-17 13:57:59,653 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:57:59.652986", "price": 103950.35, "session_update_count": 5, "session_duration_minutes": 0.06}
2025-06-17 13:59:34,642 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T13:59:34.642367", "price": 103874.4, "session_update_count": 100, "session_duration_minutes": 1.64}
2025-06-17 14:01:14,673 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:01:14.673329", "price": 103794.03, "session_update_count": 200, "session_duration_minutes": 3.31}
2025-06-17 14:02:54,687 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:02:54.687878", "price": 103882.13, "session_update_count": 300, "session_duration_minutes": 4.98}
2025-06-17 14:04:34,657 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:04:34.657108", "price": 103881.9, "session_update_count": 400, "session_duration_minutes": 6.64}
2025-06-17 14:06:14,667 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:06:14.666975", "price": 104034.14, "session_update_count": 500, "session_duration_minutes": 8.31}
2025-06-17 14:07:54,675 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:07:54.675542", "price": 103903.84, "session_update_count": 600, "session_duration_minutes": 9.98}
2025-06-17 14:09:34,675 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:09:34.675497", "price": 103929.57, "session_update_count": 700, "session_duration_minutes": 11.64}
2025-06-17 14:11:14,682 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:11:14.682503", "price": 103949.15, "session_update_count": 800, "session_duration_minutes": 13.31}
2025-06-17 14:12:54,720 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:12:54.720020", "price": 103950.86, "session_update_count": 900, "session_duration_minutes": 14.98}
2025-06-17 14:14:36,722 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:14:36.721964", "price": 103948.01, "session_update_count": 1000, "session_duration_minutes": 16.68}
2025-06-17 14:16:16,707 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:16:16.706878", "price": 103870.24, "session_update_count": 1100, "session_duration_minutes": 18.34}
2025-06-17 14:17:56,688 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:17:56.688251", "price": 103924.76, "session_update_count": 1200, "session_duration_minutes": 20.01}
2025-06-17 14:19:38,717 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:19:38.717648", "price": 103883.99, "session_update_count": 1300, "session_duration_minutes": 21.71}
2025-06-17 14:21:18,733 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:21:18.733709", "price": 103895.98, "session_update_count": 1400, "session_duration_minutes": 23.38}
2025-06-17 14:22:58,714 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:22:58.714540", "price": 103904.4, "session_update_count": 1500, "session_duration_minutes": 25.04}
2025-06-17 14:24:38,730 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:24:38.730560", "price": 103908.36, "session_update_count": 1600, "session_duration_minutes": 26.71}
2025-06-17 14:26:18,736 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:26:18.736408", "price": 103882.9, "session_update_count": 1700, "session_duration_minutes": 28.38}
2025-06-17 14:27:59,756 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:27:59.756459", "price": 103685.58, "session_update_count": 1800, "session_duration_minutes": 30.06}
2025-06-17 14:29:39,777 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:29:39.777521", "price": 103705.66, "session_update_count": 1900, "session_duration_minutes": 31.73}
2025-06-17 14:31:19,743 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:31:19.743234", "price": 103810.16, "session_update_count": 2000, "session_duration_minutes": 33.4}
2025-06-17 14:32:59,771 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:32:59.770985", "price": 103877.19, "session_update_count": 2100, "session_duration_minutes": 35.06}
2025-06-17 14:34:39,777 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:34:39.776998", "price": 103923.24, "session_update_count": 2200, "session_duration_minutes": 36.73}
2025-06-17 14:36:19,626 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:36:19.626428", "price": 103974.72, "session_update_count": 2300, "session_duration_minutes": 38.39}
2025-06-17 14:37:59,619 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:37:59.619438", "price": 103990.16, "session_update_count": 2400, "session_duration_minutes": 40.06}
2025-06-17 14:39:39,617 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:39:39.617420", "price": 104039.09, "session_update_count": 2500, "session_duration_minutes": 41.73}
2025-06-17 14:41:19,781 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:41:19.781711", "price": 103971.17, "session_update_count": 2600, "session_duration_minutes": 43.4}
2025-06-17 14:42:59,753 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:42:59.753410", "price": 104045.37, "session_update_count": 2700, "session_duration_minutes": 45.06}
2025-06-17 14:44:39,762 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:44:39.762803", "price": 104059.8, "session_update_count": 2800, "session_duration_minutes": 46.73}
2025-06-17 14:46:19,755 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:46:19.755015", "price": 104129.41, "session_update_count": 2900, "session_duration_minutes": 48.4}
2025-06-17 14:47:59,742 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:47:59.742123", "price": 104123.91, "session_update_count": 3000, "session_duration_minutes": 50.06}
2025-06-17 14:49:40,745 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:49:40.745574", "price": 104124.89, "session_update_count": 3100, "session_duration_minutes": 51.75}
2025-06-17 14:51:20,761 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:51:20.761183", "price": 104164.96, "session_update_count": 3200, "session_duration_minutes": 53.41}
2025-06-17 14:53:00,792 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:53:00.792245", "price": 104167.61, "session_update_count": 3300, "session_duration_minutes": 55.08}
2025-06-17 14:54:41,614 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:54:41.614824", "price": 104184.25, "session_update_count": 3400, "session_duration_minutes": 56.76}
2025-06-17 14:56:21,609 | INFO | PRICE_UPDATE | {"update_time": "2025-06-17T14:56:21.609454", "price": 104302.04, "session_update_count": 3500, "session_duration_minutes": 58.43}
